gw_site_id	gw_logid	record_date	waterlevel_blsd	reviewed_status_description	source_description	purpose_description	download_date
8194	KLAM0010252	3/14/1999 12:00:00 AM	36.46	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/15/1999 12:00:00 AM	36.44	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/16/1999 12:00:00 AM	36.44	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/17/1999 12:00:00 AM	36.40	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/18/1999 12:00:00 AM	36.38	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/19/1999 12:00:00 AM	36.35	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/20/1999 12:00:00 AM	36.32	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/21/1999 12:00:00 AM	36.32	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/22/1999 12:00:00 AM	36.26	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/23/1999 12:00:00 AM	36.25	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/24/1999 12:00:00 AM	36.20	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/25/1999 12:00:00 AM	36.20	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/26/1999 12:00:00 AM	36.19	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/27/1999 12:00:00 AM	36.20	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/28/1999 12:00:00 AM	36.17	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/29/1999 12:00:00 AM	36.11	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/30/1999 12:00:00 AM	36.07	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	3/31/1999 12:00:00 AM	36.08	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/1/1999 12:00:00 AM	36.09	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/2/1999 12:00:00 AM	36.06	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/3/1999 12:00:00 AM	36.04	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/4/1999 12:00:00 AM	36.04	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/5/1999 12:00:00 AM	35.99	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/6/1999 12:00:00 AM	36.03	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/7/1999 12:00:00 AM	35.96	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/8/1999 12:00:00 AM	35.97	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/9/1999 12:00:00 AM	36.00	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/10/1999 12:00:00 AM	35.91	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/11/1999 12:00:00 AM	35.93	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/12/1999 12:00:00 AM	35.94	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/13/1999 12:00:00 AM	35.95	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/14/1999 12:00:00 AM	35.93	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/15/1999 12:00:00 AM	35.88	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/16/1999 12:00:00 AM	35.84	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/17/1999 12:00:00 AM	35.84	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/18/1999 12:00:00 AM	35.83	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/19/1999 12:00:00 AM	35.81	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/20/1999 12:00:00 AM	35.77	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/21/1999 12:00:00 AM	35.73	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/22/1999 12:00:00 AM	35.77	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/23/1999 12:00:00 AM	35.74	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/24/1999 12:00:00 AM	35.70	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/25/1999 12:00:00 AM	35.69	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/26/1999 12:00:00 AM	35.67	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/27/1999 12:00:00 AM	36.09	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/28/1999 12:00:00 AM	35.96	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/29/1999 12:00:00 AM	35.89	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	4/30/1999 12:00:00 AM	35.88	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/1/1999 12:00:00 AM	35.84	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/2/1999 12:00:00 AM	35.78	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/3/1999 12:00:00 AM	35.77	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/4/1999 12:00:00 AM	35.82	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/5/1999 12:00:00 AM	35.80	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/6/1999 12:00:00 AM	35.73	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/7/1999 12:00:00 AM	35.75	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/8/1999 12:00:00 AM	35.73	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/9/1999 12:00:00 AM	35.73	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/10/1999 12:00:00 AM	35.72	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/11/1999 12:00:00 AM	35.71	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/12/1999 12:00:00 AM	35.67	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/13/1999 12:00:00 AM	35.66	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/14/1999 12:00:00 AM	35.64	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/15/1999 12:00:00 AM	35.64	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/16/1999 12:00:00 AM	35.63	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/17/1999 12:00:00 AM	35.61	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/18/1999 12:00:00 AM	35.62	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/19/1999 12:00:00 AM	35.63	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/20/1999 12:00:00 AM	35.64	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/21/1999 12:00:00 AM	35.65	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/22/1999 12:00:00 AM	35.63	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/23/1999 12:00:00 AM	35.59	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/24/1999 12:00:00 AM	35.58	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/25/1999 12:00:00 AM	35.58	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/26/1999 12:00:00 AM	35.58	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/27/1999 12:00:00 AM	35.58	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/28/1999 12:00:00 AM	35.56	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/29/1999 12:00:00 AM	35.56	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/30/1999 12:00:00 AM	35.58	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	5/31/1999 12:00:00 AM	35.58	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/1/1999 12:00:00 AM	35.55	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/2/1999 12:00:00 AM	35.56	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/3/1999 12:00:00 AM	35.59	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/4/1999 12:00:00 AM	35.60	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/5/1999 12:00:00 AM	35.61	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/6/1999 12:00:00 AM	35.63	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/7/1999 12:00:00 AM	35.64	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/8/1999 12:00:00 AM	35.69	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/9/1999 12:00:00 AM	35.72	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/10/1999 12:00:00 AM	35.76	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/11/1999 12:00:00 AM	35.79	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/12/1999 12:00:00 AM	35.83	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/13/1999 12:00:00 AM	35.84	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/14/1999 12:00:00 AM	35.84	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/15/1999 12:00:00 AM	35.87	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/16/1999 12:00:00 AM	35.90	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/17/1999 12:00:00 AM	35.92	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/18/1999 12:00:00 AM	35.97	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/19/1999 12:00:00 AM	36.00	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/20/1999 12:00:00 AM	36.01	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/21/1999 12:00:00 AM	36.05	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/22/1999 12:00:00 AM	36.10	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/23/1999 12:00:00 AM	36.10	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/24/1999 12:00:00 AM	36.11	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/25/1999 12:00:00 AM	36.16	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/26/1999 12:00:00 AM	36.19	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/27/1999 12:00:00 AM	36.23	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/28/1999 12:00:00 AM	36.27	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/29/1999 12:00:00 AM	36.31	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	6/30/1999 12:00:00 AM	36.34	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/1/1999 12:00:00 AM	36.38	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/2/1999 12:00:00 AM	36.41	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/3/1999 12:00:00 AM	36.48	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/4/1999 12:00:00 AM	36.57	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/5/1999 12:00:00 AM	36.60	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/6/1999 12:00:00 AM	36.63	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/7/1999 12:00:00 AM	36.71	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/8/1999 12:00:00 AM	36.74	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/9/1999 12:00:00 AM	36.78	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/10/1999 12:00:00 AM	36.83	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/11/1999 12:00:00 AM	36.86	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/12/1999 12:00:00 AM	36.91	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/13/1999 12:00:00 AM	36.93	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/14/1999 12:00:00 AM	36.99	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/15/1999 12:00:00 AM	37.06	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/16/1999 12:00:00 AM	37.14	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/17/1999 12:00:00 AM	37.21	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/18/1999 12:00:00 AM	37.25	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/19/1999 12:00:00 AM	37.29	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/20/1999 12:00:00 AM	37.33	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/21/1999 12:00:00 AM	37.41	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/22/1999 12:00:00 AM	37.49	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/23/1999 12:00:00 AM	37.55	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/24/1999 12:00:00 AM	37.60	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/25/1999 12:00:00 AM	37.63	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/26/1999 12:00:00 AM	37.67	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/27/1999 12:00:00 AM	37.73	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/28/1999 12:00:00 AM	37.78	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/29/1999 12:00:00 AM	37.83	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/30/1999 12:00:00 AM	37.87	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	7/31/1999 12:00:00 AM	37.91	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/1/1999 12:00:00 AM	38.00	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/2/1999 12:00:00 AM	38.08	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/3/1999 12:00:00 AM	38.13	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/4/1999 12:00:00 AM	38.16	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/5/1999 12:00:00 AM	38.20	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/6/1999 12:00:00 AM	38.27	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/7/1999 12:00:00 AM	38.31	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/8/1999 12:00:00 AM	38.35	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/9/1999 12:00:00 AM	38.36	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/10/1999 12:00:00 AM	38.40	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/11/1999 12:00:00 AM	38.47	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/12/1999 12:00:00 AM	38.49	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/13/1999 12:00:00 AM	38.52	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/14/1999 12:00:00 AM	38.55	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/15/1999 12:00:00 AM	38.62	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/16/1999 12:00:00 AM	38.65	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/17/1999 12:00:00 AM	38.68	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/18/1999 12:00:00 AM	38.72	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/19/1999 12:00:00 AM	38.78	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/20/1999 12:00:00 AM	38.79	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/21/1999 12:00:00 AM	38.84	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/22/1999 12:00:00 AM	38.85	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/23/1999 12:00:00 AM	38.87	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/24/1999 12:00:00 AM	38.90	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/25/1999 12:00:00 AM	38.92	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/26/1999 12:00:00 AM	38.94	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/27/1999 12:00:00 AM	38.99	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/28/1999 12:00:00 AM	39.02	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/29/1999 12:00:00 AM	39.03	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/30/1999 12:00:00 AM	39.09	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	8/31/1999 12:00:00 AM	39.10	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/1/1999 12:00:00 AM	39.11	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/2/1999 12:00:00 AM	39.15	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/3/1999 12:00:00 AM	39.21	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/4/1999 12:00:00 AM	39.24	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/5/1999 12:00:00 AM	39.26	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/6/1999 12:00:00 AM	39.31	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/7/1999 12:00:00 AM	39.34	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/8/1999 12:00:00 AM	39.36	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/9/1999 12:00:00 AM	39.38	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/10/1999 12:00:00 AM	39.41	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/11/1999 12:00:00 AM	39.44	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/12/1999 12:00:00 AM	39.47	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/13/1999 12:00:00 AM	39.48	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/14/1999 12:00:00 AM	39.48	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/15/1999 12:00:00 AM	39.47	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/16/1999 12:00:00 AM	39.50	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/17/1999 12:00:00 AM	39.52	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/18/1999 12:00:00 AM	39.51	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
8194	KLAM0010252	9/19/1999 12:00:00 AM	39.54	REVIEWED	OWRD	Dedicated Observation Well	2/2/2024
