gw_site_id	site_type	gw_logid	gw_wl_county_code	gw_wl_nbr	gw_well_tag_nbr	gw_well_tag_verified_on_well	site_source_organization	site_source_owrd	state_observation_well_nbr	state_observation_well_status	latitude_dec	longitude_dec	site_horizontal_err	lat_long_source	lat_long_datum	lsd_elevation	lsd_accuracy	elevation_datum	lsd_elevation_source	state	county_code	basin_nbr	wm_district	meridian	township	township_char	range	range_char	sctn	qtr160	qtr40	qtr10	qtr2_5	tax_lot	max_depth	max_casing_diameter	primary_use_desc	measured_waterlevel_blsd_count	measured_waterlevel_blsd_current_status	measured_waterlevel_blsd_count_owrd	measured_waterlevel_blsd_current_status_owrd	calc_obs_well_status_combined	calc_obs_well_status_owrd	recorder_waterlevel_mean_daily_blsd_count	recorder_waterlevel_instantaneous_blsd_count	recorder_well	cuttings_count	media_log_count	hydrograph_url	well_log_url	critical_gw_subarea	aquifer	aquifer_system	download_date
14383	WELL	KLAM0000527	KLAM	527			USGS	GWTR			43.14371349	-121.79316200	50.00	GPS	WGS1984	4665.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	28.00	S	8.00	E	17	SE	NW	SW			161.00	8	UNUSED	47	N	47	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000527	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=527				10/22/2024
15640	WELL	KLAM0000561	KLAM	561		False	USGS	GWTR			43.13760388	-121.67927230	50.00	GPS	WGS1984	4982.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	28.00	S	9.00	E	20	NW	NE	NW			670.00		UNUSED	24	C	24	C	Obs Well Current	Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000561	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=561				10/22/2024
14384	WELL	KLAM0000562	KLAM	562			USGS	GWTR			43.11332948	-121.51543870	50.00	GPS	WGS1984	4885.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	28.00	S	10.00	E	27	SE	NW	SE		200	407.00	10	UNUSED	59	C	59	C	Obs Well Current	Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000562	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=562		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
14420	WELL	KLAM0000588	KLAM	588			OWRD	GWTR			43.00800288	-121.92373840	50.00	GPS	WGS1984	4795.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	7.00	E	6	NE	NE	NE			205.00	6	UNUSED	70	C	70	C	Obs Well Current	Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000588	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=588				10/22/2024
6381	WELL	KLAM0000589	KLAM	589			OWRD	GWTR	298	Inactive	42.98498800	-121.84945800	16.00	GPS IPAD	WGS1984	4608.00	3.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	7.00	E	11	SE	NE	NW		100	123.00	6	UNUSED	57	N	57	N	State Obs Well Non-Current	State Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000589	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=589				10/22/2024
15126	WELL	KLAM0000592	KLAM	592			OWRD	WRIS			42.97279200	-121.71113100	16.00	GPS IPAD	WGS1984	4548.15	3.00	NAVD1988	LIDAR	OR	KLAM	14	17	WM 	30.00	S	8.00	E	13	NE	SE				71.00	6														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=592		Yonna Formation	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
14111	WELL	KLAM0000601	KLAM	601			OWRD	WRIS			42.94625555	-121.72592615	200.00	WR FINAL PROOF MAP	WGS1984	4523.18	3.00	NAVD1988		OR	KLAM	14	17	WM 	30.00	S	8.00	E	25	NW	SW				312.00	6														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=601		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15127	WELL	KLAM0000603	KLAM	603			OWRD	WRIS			42.94627967	-121.71608009	250.00	WR FINAL PROOF MAP	WGS1984	4521.91	3.00	NAVD1988	LIDAR	OR	KLAM	14	17	WM 	30.00	S	8.00	E	25	NE	SW				640.00	6														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=603		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15630	WELL	KLAM0000609	KLAM	609			USGS	GWTR			42.93596889	-121.81855450	50.00	GPS	WGS1984	4550.00	3.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	8.00	E	30						75.00			15	N	15	N	Obs Well Non-Current	Obs Well Non-Current			N			https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000609	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=609				10/22/2024
15627	WELL	KLAM0000615	KLAM	615			USGS	GWTR			42.93276615	-121.81882390	50.00	GPS	WGS1984	4546.00	3.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	8.00	E	31									12	C	12	C	Obs Well Current	Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000615	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=615				10/22/2024
15128	WELL	KLAM0000616	KLAM	616			OWRD	WRIS			42.92684537	-121.79669830	300.00	WR FINAL PROOF MAP	WGS1984	4534.72	30.00	NGVD1929	DEM 10 METER	OR	KLAM	14	17	WM 	30.00	S	8.00	E	32	SW	NE				150.00	20														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=616		Yonna Formation	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15635	WELL	KLAM0000617	KLAM	617			USGS	GWTR			42.99398750	-121.66285490	50.00	GPS	WGS1984	4519.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	9.00	E	4									1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=617				10/22/2024
16657	WELL	KLAM0000619	KLAM	619			OWRD	WRIS			42.98881200	-121.69891700	50.00	GPS IPAD	WGS1984	4540.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	9.00	E	7	NW	SE			1200	455.00	14	IRRIGATION													https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=619		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
14385	WELL	KLAM0000637	KLAM	637			USGS	GWTR			42.96772868	-121.57978760	50.00	GPS	WGS1984	4590.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	10.00	E	18	SW	SE	NE		1600	136.00	8	DOMESTIC	89	C	89	C	Obs Well Current	Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000637	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=637		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15633	WELL	KLAM0000639	KLAM	639			USGS	GWTR			42.96595375	-121.57757080	50.00	GPS	WGS1984	4536.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	10.00	E	18						225.00	6	DOMESTIC	2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000639	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=639				10/22/2024
15632	WELL	KLAM0000640	KLAM	640			USGS	GWTR			42.96301380	-121.47365540	50.00	GPS	WGS1984	4600.00	20.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	10.00	E	24						231.00			20	N	20	N	Obs Well Non-Current	Obs Well Non-Current			N			https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000640	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=640				10/22/2024
15625	WELL	KLAM0000641	KLAM	641			USGS	GWTR			42.92539495	-121.47387330	50.00	GPS	WGS1984	4559.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	10.00	E	36									8	C	8	C	Obs Well Current	Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000641	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=641				10/22/2024
15626	WELL	KLAM0000642	KLAM	642			USGS	GWTR			42.92557550	-121.47335380	50.00	GPS	WGS1984	4560.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	10.00	E	36									2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000642	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=642				10/22/2024
15631	WELL	KLAM0000643	KLAM	643			USGS	GWTR			42.93945307	-121.46928470	50.00	GPS	WGS1984	4630.00	20.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	10.00	E	25									2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000643	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=643				10/22/2024
15628	WELL	KLAM0000644	KLAM	644			USGS	GWTR			42.93544756	-121.48428810	50.00	GPS	WGS1984	4552.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	30.00	S	10.00	E	25									2	N	2	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000644	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=644				10/22/2024
15129	WELL	KLAM0000670	KLAM	670			OWRD	WRIS			42.91945602	-121.81455440	100.00	WR FINAL PROOF MAP	WGS1984			NGVD1929	DEM 10 METER	OR	KLAM	14	17	WM 	31.00	S	8.00	E	6	NW	NW				274.00	20														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=670		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15130	WELL	KLAM0000672	KLAM	672			OWRD	WRIS			42.90650186	-121.75963117	150.00	WR FINAL PROOF MAP	WGS1984	4525.68	3.00	NAVD1988	LIDAR	OR	KLAM	14	17	WM 	31.00	S	8.00	E	10	NW	NW				160.00	18														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=672		Yonna Formation	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15131	WELL	KLAM0000675	KLAM	675			OWRD	WRIS			42.87032500	-121.79822400	16.00	GPS IPAD	WGS1984	4524.60	30.00	NGVD1929	DEM 10 METER	OR	KLAM	14	17	WM 	31.00	S	8.00	E	20	SW	NW				322.00	20														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=675		Yonna Formation	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
14112	WELL	KLAM0000677	KLAM	677			OWRD	WRIS			42.83609259	-121.76950411	500.00	WR FINAL PROOF MAP	WGS1984	4522.36	3.00	NAVD1988	LIDAR	OR	KLAM	14	17	WM 	31.00	S	8.00	E	33	SE	SW				430.00	18														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=677		Klamath Volcanics	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15624	WELL	KLAM0000682	KLAM	682			USGS	GWTR			42.84717970	-121.44522680	50.00	GPS	WGS1984	4615.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	31.00	S	11.00	E	32									5	N	5	N	Obs Well Non-Current	Obs Well Non-Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000682	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=682				10/22/2024
14386	WELL	KLAM0000686	KLAM	686			USGS	GWTR			42.75457685	-122.05541240	50.00	GPS	WGS1984	4316.80	0.10	NGVD1929	SURVEY	OR	KLAM	14	17	WM 	32.00	S	6.00	E	36	SE	NE	NE		400	92.00	6	DOMESTIC	84	C	84	C	Obs Well Current	Obs Well Current						https://apps.wrd.state.or.us/apps/gw/gw_info/gw_hydrograph/Hydrograph.aspx?gw_logid=KLAM0000686	https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=686				10/22/2024
20099	WELL	KLAM0000700	KLAM	700			OWRD	GWTR			42.70502719	-122.04533623	50.00	SITE VISIT AND IMAGERY	WGS1984	4193.70	1.00	NGVD1929		OR	KLAM	14	17	WM 	33.00	S	7.50	E	18	SW	SE	SE			270.00	6	DOMESTIC	1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=700				10/22/2024
15132	WELL	KLAM0000702	KLAM	702			OWRD	WRIS			42.80631861	-121.80901487	150.00	WR FINAL PROOF MAP	WGS1984	4521.09	3.00	NAVD1988	LIDAR	OR	KLAM	14	17	WM 	32.00	S	8.00	E	7	SE	SW				188.00	16														https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=702		Yonna Formation	Quaternary-Late Tertiary Volcanic and Volcaniclastic Rock Aquifers	10/22/2024
15617	WELL	KLAM0000729	KLAM	729			USGS	GWTR			42.66309690	-121.84813830	50.00	GPS	WGS1984	4201.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	33.00	S	7.00	E	35									1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=729				10/22/2024
15616	WELL	KLAM0000731	KLAM	731			USGS	GWTR			42.66244136	-121.84809940	50.00	GPS	WGS1984	4203.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	34.00	S	7.00	E	35									1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=731				10/22/2024
15623	WELL	KLAM0000733	KLAM	733			USGS	GWTR			42.74724370	-122.04946760	50.00	GPS	WGS1984	4290.00	5.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	33.00	S	7.50	E	6									1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=733				10/22/2024
15621	WELL	KLAM0000734	KLAM	734			USGS	GWTR			42.73352800	-121.98714640	50.00	GPS	WGS1984	4210.00	10.00	NGVD1929	7.5-MINUTE MAP	OR	KLAM	14	17	WM 	33.00	S	7.50	E	10									1	N	1	N									https://apps.wrd.state.or.us/apps/misc/vault/vault.aspx?wl_county_code=KLAM&wl_nbr=734				10/22/2024
