STATION,SITE_CODE,STNAME,WELL_NAME,LATITUDE,LONGITUDE,LLDATUM,POSACC,ELEV,ELEVDATUM,ELEVACC,COUNTY_NAME,BASIN_CODE,BASIN_NAME,WELL_DEPTH,WELL_USE,WELL_TYPE,WCR_NO,WDL,COMMENT
01S04E28P003M,378105N1215422W001,Old River at Tracy Barrier well 4 screen 10-20 ft bgs,OLNO-4,37.810500000,-121.542194440,NAD83,"Survey, 1m",16.900,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28P003M,"01S04E28P003M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,4M."
01S04E28P004M,378097N1215428W001,Old River at Tracy Barrier well 3 screen 10-20 ft bgs,OLNO-3,37.809694440,-121.542777780,NAD83,"Survey, 1m",14.100,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S04E28P004M,"01S04E28P004M is part of a well cluster.  Other wells in the cluster are 01S04E28P001,2,3M."
01S06E09E001M,378600N1213200W001,Upper Roberts Island Well 3A screen 12-17 ft bgs,UR-3A,37.862517310,-121.321028750,NAD83,"GPS, 10m",8.930,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,17.00000,Observation,Single Well,E068067,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E09E001M,01S06E09E001M is part of a well cluster.  The other well in the cluster is 01S06E09E002M.
01S06E09E002M,378000N1213200W004,Upper Roberts Island Well 3B screen 15-20 ft bgs,UR-3B,37.862511890,-121.321589370,NAD83,"GPS, 10m",6.510,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,E068069,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E09E002M,01S06E09E002M is part of a well cluster.  The other well in the cluster is 01S06E09E001M.
01S06E16D002M,378500N1213200W001,Upper Roberts Island Well 2A screen 12-17 ft bgs,UR-2A,37.851373250,-121.323656590,NAD83,"GPS, 10m",11.670,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,20.00000,Observation,Single Well,E068065,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E16D002M,01S06E16D002M is part of a well cluster.  The other well in the cluster is 01S06E16D003M.
01S06E16D003M,378500N1213200W002,Upper Roberts Island Well 2B screen 14-19 ft bgs,UR-2B,37.851224540,-121.324648000,NAD83,"GPS, 10m",11.250,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,21.00000,Observation,Single Well,E068066,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E16D003M,01S06E16D003M is part of a well cluster.  The other well in the cluster is 01S06E16D002M.
01S06E29R001M,378000N1213200W001,Upper Roberts Island Well 1A screen 23-28 ft bgs,UR-1A,37.811101360,-121.325647330,NAD83,"GPS, 10m",15.383,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,28.00000,Observation,Single Well,E068067,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E29R001M,"01S06E29R001M is part of a well cluster.  Other wells in the cluster are 01S06E29R002,3M."
01S06E29R002M,378000N1213200W002,Upper Roberts Island Well 1B screen 20-25 ft bgs,UR-1B,37.812608560,-121.325661300,NAD83,"GPS, 10m",15.363,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,25.00000,Observation,Single Well,E068068,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E29R002M,"01S06E29R002M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,3M."
01S06E29R003M,378000N1213200W003,Upper Roberts Island Well 1C screen 35-40 ft bgs,UR-1C,37.813068240,-121.325795170,NAD83,"GPS, 10m",15.333,,R.L. AT SURFACE,San Joaquin,5-022.15,Tracy,40.00000,Observation,Single Well,E068064,https://wdl.water.ca.gov/StationDetails.aspx?Station=01S06E29R003M,"01S06E29R003M is part of a well cluster.  Other wells in the cluster are 01S06E29R001,2M."
03N04E11L001M,381204N1215094W001,Delta Island Consumptive Use-Staten Island-ND69-25ft,ND69,38.120444444,-121.509416660,NAD83,"GPS, 10m",-4.480,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,25.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=03N04E11L001M,"Elevation data taken from CASGEM, well depth approx 25ft"
04N04E01N001M,382000N1214812W001,Delta Island Consumptive Use_New Hope Tract_ ND21B_35ft,ND-21B,38.219750000,-121.497500000,WGS84,"GPS, 10m",0.000,NAVD88,Unknown,San Joaquin,5-022.01,Eastern San Joaquin,35.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E01N001M,Elevation and Depth from CASGEM
04N04E02B001M,382328N1215070W001,Delta Island Consumptive Use-Walnut Grove-ND34-20ft,ND34,38.232889000,-121.507028000,WGS84,"GPS, 10m",9.630,NAVD88,Unknown,Sacramento,5-021.66,Solano,20.00000,Observation,Single Well,465180B,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E02B001M,Elevation from CASGEM
04N04E10Q001M,382044N1215280W001,Delta Island Consumptive Use-Tyler Island-ND39MA-20ff,ND39MA,38.204416670,-121.528055600,NAD83,"GPS, 10m",-3.370,NAVD88,R.L. AT SURFACE,Sacramento,5-021.66,Solano,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E10Q001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft"
04N04E10Q002M,382044N1215280W002,Delta Island Consumptive Use-Tyler Island-ND39MB-100ff,ND39MB,38.204416670,-121.528055600,NAD83,"GPS, 10m",-3.370,NAVD88,R.L. AT SURFACE,Sacramento,5-021.66,Solano,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E10Q002M,"Elevation data taken from CASGEM. Well depth appox 100ft
Elevation came from CASGEM.  Well depth approx. 100ft"
04N04E12M001M,382108N1215020W001,Delta Island Consumptive Use-Staten Island-ND38MA-20ft,ND38MA,38.210888900,-121.502055600,NAD83,"GPS, 10m",-2.580,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E12M001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 20ft"
04N04E12M002M,382108N1215020W002,Delta Island Consumptive Use-Staten Island-ND38MB-100ft,ND38MB,38.210888900,-121.502055600,NAD83,"GPS, 10m",-2.580,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E12M002M,Elevation data taken from CASGEM. Well depth appox 100ft
04N04E13A001M,382047N1214809W001,Delta Island Consumptive Use-Staten Island-ND23MA-20ft,ND23MA,38.204694440,-121.480888900,NAD83,"GPS, 10m",3.520,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E13A001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 20ft"
04N04E13A002M,382047N1214809W002,Delta Island Consumptive Use-Staten Island-ND23MB-100ff,ND23MB,38.204694440,-121.480888900,NAD83,"GPS, 10m",3.520,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E13A002M,"Elevation data taken from CASGEM. Well depth appox 100ft
Elevation came from CASGEM.  Well depth approx. 100ft"
04N04E27F001M,381688N1215288W001,Delta Island Consumptive Use-Staten Island-ND45 25ft,ND45,38.168804560,-121.528708700,NAD83,"GPS, 10m",3.520,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,25.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E27F001M,"Elevation data taken from CASGEM. Well depth appox 25ft
Elevation came from CASGEM.  Well depth approx. 100ft
Elevation from CASGEM.  Well depth approx. 20ft"
04N04E34N001M,381482N1215360W001,Delta Island Consumptive Use-Staten Island-ND48MA 20ft,ND48MA,38.148250000,-121.536083330,NAD83,"GPS, 10m",-7.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E34N001M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft
Elevation from CASGEM.  Well depth approx. 20ft"
04N04E34N002M,381482N1215360W002,Delta Island Consumptive Use-Staten Island-ND48MB-100ff,ND48MB,38.148250000,-121.536083330,NAD83,"GPS, 10m",-7.380,NAVD88,R.L. AT SURFACE,San Joaquin,5-022.01,Eastern San Joaquin,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N04E34N002M,"Elevation data taken from CASGEM. Well depth appox 20ft
Elevation came from CASGEM.  Well depth approx. 100ft"
04N05E07N002M,382063N1214794W001,Delta Island Consumptive Use-New Hope Tract-ND22-20ft,ND-22,38.206250000,-121.479360000,WGS84,"GPS, 10m",3.520,NAVD88,Unknown,San Joaquin,5-022.01,Eastern San Joaquin,20.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=04N05E07N002M,Elevation and details taken from CASGEM
05N03E09L001M,382902N1216473W001,Prospect Island Well 5A screen 27.9-37.9 ft bgs,PI-5A,38.290206040,-121.647330860,NAD83,"Survey, 1m",17.610,,R.L. AT SURFACE,Solano,5-021.66,Solano,43.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E09L001M,05N03E09L001M is part of a well cluster.  Other well in the cluster is 05N03E09L002M.
05N03E09L002M,382902N1216474W001,Prospect Island Well 5B screen 67.5-77.5 ft bgs,PI-5B,38.290197630,-121.647362770,NAD83,"Survey, 1m",17.970,,R.L. AT SURFACE,Solano,5-021.66,Solano,82.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E09L002M,05N03E09L002M is part of a well cluster.  Other well in the cluster is 05N03E09L001M.
05N03E15F001M,382797N1216324W001,Ryer Island (RD 501) Well 99-7 screen 33-38 ft bgs,Ryer MW-7,38.279650870,-121.632368350,NAD83,"Survey, 1m",-1.760,,R.L. AT SURFACE,Solano,5-021.66,Solano,40.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E15F001M,05N03E15F001M is part of a well cluster.  Other well in the cluster is 05N03E15F002M.
05N03E15F002M,382796N1216324W001,Ryer Island (RD 501) Well 99-8 screen 9-14 ft bgs,Ryer MW-8,38.279648210,-121.632387790,NAD83,"Survey, 1m",-1.620,,R.L. AT SURFACE,Solano,5-021.66,Solano,15.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E15F002M,05N03E15F002M is part of a well cluster.  Other well in the cluster is 05N03E15F001M.
05N03E15P001M,382728N1216299W001,Ryer Island (RD 501) Well 99-5 screen 33-38 ft bgs,Ryer MW-5,38.272800570,-121.629857740,NAD83,"Survey, 1m",-2.910,,R.L. AT SURFACE,Solano,5-021.66,Solano,40.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E15P001M,05N03E15P001M is part of a well cluster.  Other well in the cluster is 05N03E15P002M.
05N03E15P002M,382728N1216299W002,Ryer Island (RD 501) Well 99-6 screen 8-13 ft bgs,Ryer MW-6,38.272801450,-121.629883660,NAD83,"Survey, 1m",-3.170,,R.L. AT SURFACE,Solano,5-021.66,Solano,15.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E15P002M,05N03E15P002M is part of a well cluster.  Other well in the cluster is 05N03E15P001M.
05N03E16A001M,382845N1216419W001,Ryer Island (RD 501) Well 99-9 screen 33-38 ft bgs,Ryer MW-9,38.284536510,-121.641876930,NAD83,"Survey, 1m",-1.730,,R.L. AT SURFACE,Solano,5-021.66,Solano,40.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16A001M,05N03E16A001M is part of a well cluster.  Other well in the cluster is 05N03E16A002M.
05N03E16A002M,382845N1216419W002,Ryer Island (RD 501) Well 99-10 screen 8-13 ft bgs,Ryer MW-10,38.284536510,-121.641876930,NAD83,"Survey, 1m",-1.260,,R.L. AT SURFACE,Solano,5-021.66,Solano,14.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16A002M,05N03E16A002M is part of a well cluster.  Other well in the cluster is 05N03E16A001M.
05N03E16B001M,382847N1216443W001,Prospect Island Well 6A screen 16.2-26.2 ft bgs,PI-6A,38.284710430,-121.644257110,NAD83,"Survey, 1m",16.410,,R.L. AT SURFACE,Solano,5-021.66,Solano,31.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16B001M,05N03E16B001M is part of a well cluster.  Other well in the cluster is 05N03E16B002M.
05N03E16B002M,382847N1216443W002,Prospect Island Well 6B screen 45.8-55.8 ft bgs,PI-6B,38.284736920,-121.644252990,NAD83,"Survey, 1m",16.450,,R.L. AT SURFACE,Solano,5-021.66,Solano,61.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16B002M,05N03E16B002M is part of a well cluster.  Other well in the cluster is 05N03E16B001M.
05N03E16H001M,382789N1216403W001,Prospect Island Well 7A screen 12.4-22.4 ft bgs,PI-7A,38.278921120,-121.640301600,NAD83,"Survey, 1m",15.870,,R.L. AT SURFACE,Solano,5-021.66,Solano,27.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16H001M,05N03E16H001M is part of a well cluster.  Other well in the cluster is 05N03E16H002M.
05N03E16H002M,382789N1216403W002,Prospect Island Well 7B screen 46.8-56.8 ft bgs,PI-7B,38.278938190,-121.640328330,NAD83,"Survey, 1m",15.940,,R.L. AT SURFACE,Solano,5-021.66,Solano,62.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16H002M,05N03E16H002M is part of a well cluster.  Other well in the cluster is 05N03E16H001M.
05N03E16J001M,382742N1216399W001,Ryer Island (RD 501) Well 99-3 screen 34-39 ft bgs,Ryer MW-3,38.274171770,-121.639888020,NAD83,"Survey, 1m",0.930,,R.L. AT SURFACE,Solano,5-021.66,Solano,40.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16J001M,05N03E16J001M is part of a well cluster.  Other well in the cluster is 05N03E16J002M.
05N03E16J002M,382742N1216399W002,Ryer Island (RD 501) Well 99-4 screen 8-13 ft bgs,Ryer MW-4,38.274170720,-121.639906160,NAD83,"Survey, 1m",0.820,,R.L. AT SURFACE,Solano,5-021.66,Solano,15.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16J002M,05N03E16J002M is part of a well cluster.  Other well in the cluster is 05N03E16J001M.
05N03E16R001M,382711N1216419W001,Ryer Island (RD 501) Well 99-11 screen 53-58 ft bgs,Ryer MW-11,38.271129900,-121.641914480,NAD83,"Survey, 1m",27.110,,R.L. AT SURFACE,Solano,5-021.66,Solano,60.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16R001M,
05N03E16R002M,382727N1216424W001,Prospect Island Well 8A screen 12-22 ft bgs,PI-8A,38.272671650,-121.642415760,NAD83,"Survey, 1m",15.700,,R.L. AT SURFACE,Solano,5-021.66,Solano,27.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16R002M,05N03E16R002M is part of a well cluster.  Other well in the cluster is 05N03E16R003M.
05N03E16R003M,382727N1216424W002,Prospect Island Well 8B screen 46.3-56.3 ft bgs,PI-8B,38.272697200,-121.642399630,NAD83,"Survey, 1m",15.850,,R.L. AT SURFACE,Solano,5-021.66,Solano,61.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E16R003M,05N03E16R003M is part of a well cluster.  Other well in the cluster is 05N03E16R002M.
05N03E20B001M,382703N1216613W001,Prospect Island Well 3A screen 12.1-22.1 ft bgs,PI-3A,38.270284720,-121.661349150,NAD83,"Survey, 1m",13.850,,R.L. AT SURFACE,Solano,5-021.66,Solano,27.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E20B001M,05N03E20B001M is part of a well cluster.  Other wells in the cluster are 05N03E20B002M and 05N03E20B003M.
05N03E20B002M,382703N1216613W002,Prospect Island Well 3B screen 42.3-52.3 ft bgs,PI-3B,38.270310760,-121.661340340,NAD83,"Survey, 1m",13.990,,R.L. AT SURFACE,Solano,5-021.66,Solano,57.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E20B002M,05N03E20B002M is part of a well cluster.  Other wells in the cluster are 05N03E20B001M and 05N03E20B003M.
05N03E20B003M,382703N1216613W003,Prospect Island Well 3C screen 84.2-94.2 ft bgs,PI-3C,38.270324650,-121.661336580,NAD83,"Survey, 1m",13.960,,R.L. AT SURFACE,Solano,5-021.66,Solano,99.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E20B003M,05N03E20B003M is part of a well cluster.  Other wells in the cluster are 05N03E20B001M and 05N03E20B002M.
05N03E21G001M,382665N1216429W001,Prospect Island Well 9A screen 11.2-21.2 ft bgs,PI-9A,38.266520000,-121.642934700,NAD83,"Survey, 1m",15.340,,R.L. AT SURFACE,Solano,5-021.66,Solano,26.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E21G001M,05N03E21G001M is part of a well cluster.  Other wells in the cluster are 05N03E21G002M and 05N03E21G003M.
05N03E21G002M,382665N1216429W002,Prospect Island Well 9B screen 45.7-55.7 ft bgs,PI-9B,38.266542400,-121.642914080,NAD83,"Survey, 1m",15.330,,R.L. AT SURFACE,Solano,5-021.66,Solano,61.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E21G002M,05N03E21G002M is part of a well cluster.  Other wells in the cluster are 05N03E21G001M and 05N03E21G003M.
05N03E21G003M,382666N1216429W001,Prospect Island Well 9C screen 83.5-93.5 ft bgs,PI-9C,38.266562280,-121.642895340,NAD83,"Survey, 1m",15.330,,R.L. AT SURFACE,Solano,5-021.66,Solano,98.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E21G003M,05N03E21G003M is part of a well cluster.  Other wells in the cluster are 05N03E21G001M and 05N03E21G002M.
05N03E21H001M,382657N1216408W001,Ryer Island (RD 501) Well 99-1 screen 33-38 ft bgs,Ryer MW-1,38.265743390,-121.640809610,NAD83,"Survey, 1m",0.210,,R.L. AT SURFACE,Solano,5-021.66,Solano,40.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E21H001M,05N03E21H001M is part of a well cluster.  Other well in the cluster is 05N03E21H002M.
05N03E21H002M,382657N1216408W002,Ryer Island (RD 501) Well 99-2 screen 5-10 ft bgs,Ryer MW-2,38.265743390,-121.640809610,NAD83,"Survey, 1m",0.360,,R.L. AT SURFACE,Solano,5-021.66,Solano,14.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E21H002M,05N03E21H002M is part of a well cluster.  Other well in the cluster is 05N03E21H001M.
05N03E21L001M,382623N1216503W001,Prospect Island Well 10A screen 18-28 ft bgs,PI-10A,38.262304480,-121.650304420,NAD83,"Survey, 1m",14.790,,R.L. AT SURFACE,Solano,5-021.66,Solano,33.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E21L001M,05N03E21L001M is part of a well cluster.  Other well in the cluster is 05N03E21L002M.
05N03E21L002M,382623N1216503W002,Prospect Island Well 10B screen 45.5-55.5 ft bgs,PI-10B,38.262304260,-121.650269370,NAD83,"Survey, 1m",14.850,,R.L. AT SURFACE,Solano,5-021.66,Solano,60.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E21L002M,05N03E21L002M is part of a well cluster.  Other well in the cluster is 05N03E21L001M.
05N03E29A001M,382531N1216567W001,Prospect Island Well 1A screen 13.1-23.1 ft bgs,PI-1A,38.253058220,-121.656740160,NAD83,"Survey, 1m",14.810,,R.L. AT SURFACE,Solano,5-021.66,Solano,28.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E29A001M,05N03E29A001M is part of a well cluster.  Other well in the cluster is 05N03E29A002M.
05N03E29A002M,382531N1216567W002,Prospect Island Well 1B screen 60.7-70.7 ft bgs,PI-1B,38.253071070,-121.656710310,NAD83,"Survey, 1m",14.790,,R.L. AT SURFACE,Solano,5-021.66,Solano,76.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E29A002M,05N03E29A002M is part of a well cluster.  Other well in the cluster is 05N03E29A001M.
05N03E29C001M,382532N1216665W001,Prospect Island Well 2A screen 8.3-18.3 ft bgs,PI-2A,38.253235850,-121.666496610,NAD83,"Survey, 1m",12.950,,R.L. AT SURFACE,Solano,5-021.66,Solano,23.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E29C001M,05N03E29C001M is part of a well cluster.  Other well in the cluster is 05N03E29C002M.
05N03E29C002M,382533N1216665W001,Prospect Island Well 2B screen 49.6-59.6 ft bgs,PI-2B,38.253258860,-121.666511410,NAD83,"Survey, 1m",12.850,,R.L. AT SURFACE,Solano,5-021.66,Solano,64.00000,Observation,Single Well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N03E29C002M,05N03E29C002M is part of a well cluster.  Other well in the cluster is 05N03E29C001M.
05N04E36G001M,382411N1214894W001,Delta Island Consumptive Use-McCormackWilliamson-ND13MA,ND13MA,38.241083000,-121.489389000,WGS84,"GPS, 10m",2.620,NAVD88,Unknown,Sacramento,5-021.65,South American,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N04E36G001M,"elevation data from CASGEM, well depth 20ft"
05N04E36G002M,382411N1214894W002,Delta Island Consumptive Use-McCormackWilliamson-ND13MB,ND13MB,38.241083000,-121.489389000,WGS84,"GPS, 10m",2.620,NAVD88,Unknown,Sacramento,5-021.65,South American,100.00000,Observation,Part of a nested/multi-completion well,,https://wdl.water.ca.gov/StationDetails.aspx?Station=05N04E36G002M,"elevation data from CASGEM, well depth 100ft"
